1	600	0.2857	2.4955	3.6057	0.4722	0.001666667
1.8	600	0.359	2.5089	4.898	0.4869	0.003
1	800	0.1854	2.1863	2.7688	0.3524	0.00125
1.8	800	0.4008	2.8211	4.6922	0.59	0.00225
1	700	0.2352	2.3699	3.4275	0.4413	0.001428571
1.8	700	0.3796	2.694	5.0354	0.5674	0.002571429
1.4	600	0.3227	2.6525	4.5296	0.3796	0.002333333
1.4	800	0.2934	2.654	4.0083	0.3712	0.00175
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1	600	0.2857	2.4955	3.6057	0.4722	0.001666667
1.8	600	0.359	2.5089	4.898	0.4869	0.003
1	800	0.1854	2.1863	2.7688	0.3524	0.00125
1.8	800	0.4008	2.8211	4.6922	0.59	0.00225
1	700	0.2352	2.3699	3.4275	0.4413	0.001428571
1.8	700	0.3796	2.694	5.0354	0.5674	0.002571429
1.4	600	0.3227	2.6525	4.5296	0.3796	0.002333333
1.4	800	0.2934	2.654	4.0083	0.3712	0.00175
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1	600	0.2857	2.4955	3.6057	0.4722	0.001666667
1.8	600	0.359	2.5089	4.898	0.4869	0.003
1	800	0.1854	2.1863	2.7688	0.3524	0.00125
1.8	800	0.4008	2.8211	4.6922	0.59	0.00225
1	700	0.2352	2.3699	3.4275	0.4413	0.001428571
1.8	700	0.3796	2.694	5.0354	0.5674	0.002571429
1.4	600	0.3227	2.6525	4.5296	0.3796	0.002333333
1.4	800	0.2934	2.654	4.0083	0.3712	0.00175
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.4	700	0.3077	2.6823	4.5092	0.4044	0.002
1.13	656.58	0.2754	2.5428	3.9493	0.4205	0.001721039
1.48	792.37	0.3158	2.714	4.2448	0.4032	0.001867814
1.67	714.55	0.3567	2.7381	4.8924	0.4943	0.002337135
1.2	777.02	0.2479	2.4918	3.6467	0.3561	0.001544362
1.59	721.45	0.3425	2.74	4.7781	0.4605	0.002203895
1.56	767.55	0.3374	2.7537	4.5503	0.4465	0.002032441
1.49	755.57	0.3201	2.7214	4.4741	0.4189	0.001972021
1.43	682.41	0.3151	2.6902	4.6022	0.4086	0.002095514
1.29	699.79	0.2881	2.6272	4.2709	0.3947	0.00184341
1.71	701.06	0.3642	2.7182	4.9673	0.5157	0.002439164
1.41	651.3	0.3166	2.6775	4.6005	0.4007	0.002164901
1.71	649.76	0.3569	2.6498	4.9735	0.4859	0.002631741
1.07	786.88	0.2112	2.3194	3.1508	0.3544	0.001359801
1.24	753.25	0.2629	2.5499	3.8948	0.3728	0.0016462
1.62	790.49	0.3509	2.7787	4.5065	0.4672	0.002049362
1.59	755.62	0.3435	2.7581	4.6525	0.4609	0.002104232
1.79	724.4	0.3817	2.7338	4.9851	0.5683	0.00247101
1.07	799.32	0.2056	2.2957	3.0434	0.3416	0.001338638
1.68	700.88	0.3581	2.723	4.9342	0.4977	0.002396987
1.48	787.55	0.3147	2.7117	4.2653	0.4033	0.001879246
1.7	685.83	0.3602	2.7018	4.9723	0.5026	0.002478748
1.15	649.57	0.2809	2.5625	4.0144	0.4167	0.001770402
1.16	714.85	0.2581	2.5121	3.8549	0.3969	0.001622718
1.27	645.52	0.2989	2.6332	4.3222	0.3978	0.001967406
1.42	644.43	0.3179	2.6755	4.6065	0.3991	0.002203498
1.59	640.78	0.3404	2.6714	4.8516	0.4328	0.002481351
1.12	643.96	0.2788	2.5439	3.9326	0.4254	0.001739238
1.73	671.81	0.3623	2.6763	4.9982	0.5083	0.002575133
1.62	603.64	0.3428	2.6163	4.8112	0.4166	0.002683719
1.72	746.91	0.3723	2.7679	4.8611	0.5328	0.002302821
1.6	690.84	0.3429	2.7183	4.8523	0.4573	0.002316021
1.14	779.22	0.2301	2.4116	3.4195	0.3557	0.001463001
1.09	717.41	0.2442	2.4445	3.645	0.4065	0.001519354
1.56	663.14	0.3371	2.6958	4.8294	0.4357	0.002352444
1.74	690.01	0.3676	2.6973	5.0036	0.5267	0.002521703
1.61	678.71	0.3446	2.7071	4.8813	0.4583	0.002372147
1.37	627.14	0.3153	2.6621	4.5213	0.3909	0.00218452
1.76	634.49	0.3615	2.6005	4.9837	0.5009	0.002773881
1.78	757.75	0.3865	2.7767	4.8755	0.571	0.00234906
1.07	683.91	0.2553	2.4673	3.7176	0.4274	0.001564533
1.23	680.65	0.2831	2.599	4.1767	0.3998	0.001807096
1.54	662.02	0.3336	2.6955	4.7983	0.4284	0.002326214
1.37	650.7	0.3103	2.6663	4.5144	0.3971	0.002105425
1.35	630.53	0.3118	2.658	4.4778	0.3918	0.002141056
1.1	676.25	0.2638	2.5053	3.8374	0.4217	0.001626617
1.26	789.53	0.2576	2.5323	3.7084	0.3498	0.001595886
1.28	716.8	0.2826	2.6142	4.1939	0.3903	0.001785714
1.18	669.2	0.278	2.5689	4.0594	0.4084	0.001763299
1.16	652.01	0.2821	2.571	4.0514	0.4132	0.001779114
1.73	779.25	0.3784	2.7974	4.727	0.5382	0.002220083
1.64	734.06	0.3524	2.7536	4.8018	0.4828	0.00223415
1.27	716.36	0.2808	2.6077	4.1716	0.3901	0.001772852
